model,scenario,chemical_name,n_samples,n_valid_positions,absolute_rmse,raw_fc_pcc,raw_fc_direction_accuracy,matched_control_rmse,rmse_gain_vs_matched_control
D0 seed2,val_strain_only,Geldanamycin,24,87891,0.6908830404281616,0.2548854194746628,0.5886268218588934,0.3497157692909241,-0.34116727113723755
D0 seed2,val_strain_only,Haloperidol,24,91401,0.6807611584663391,0.31973627560984486,0.6143368234483212,0.3767552673816681,-0.304005891084671
D0 seed2,val_strain_only,Harmine hydrochloride,24,86918,0.7213945388793945,0.217518149256704,0.5729883338318875,0.43227535486221313,-0.2891191840171814
D0 seed2,val_strain_only,Hoechst 33258,23,83761,0.8600664734840393,0.19498492107578463,0.5590191139074271,0.6847280859947205,-0.17533838748931885
D0 seed2,val_strain_only,LY 294002 hydrochloride,24,88180,0.7105867266654968,0.27055416333316906,0.594511227035609,0.442640095949173,-0.26794663071632385
D0 seed2,val_strain_only,NaCl,72,254240,0.8229149580001831,0.1250729103065503,0.5538270925110133,0.4323720932006836,-0.3905428647994995
D0 seed2,val_strain_only,Nigericin,24,89166,0.7550774812698364,0.23646132846735268,0.5780566583675392,0.5036889910697937,-0.2513884902000427
D0 seed2,val_strain_only,Nocodazole,24,84550,0.6973360180854797,0.2765353709598667,0.5926670609107038,0.4053686261177063,-0.29196739196777344
D0 seed2,val_strain_only,Nystatin dihydrate,24,87755,0.7384374737739563,0.2831651613992259,0.5947467380776024,0.5283347964286804,-0.21010267734527588
D0 seed2,val_strain_only,Oligomycin,24,78659,0.7299643158912659,0.27946930702882017,0.598596473385118,0.5178152322769165,-0.21214908361434937
D0 seed2,val_strain_only,Parthenolide,24,88568,0.6943292021751404,0.31325239817636047,0.6138221479541144,0.4310588538646698,-0.2632703483104706
D0 seed2,val_strain_only,Rapamycin,72,259073,0.8250239491462708,0.16791345162107363,0.5546390399617096,0.3784373700618744,-0.44658657908439636
D0 seed2,val_strain_only,SDS,72,255928,0.8120980262756348,0.20917157906464684,0.565338689006283,0.35737958550453186,-0.4547184407711029
D0 seed2,val_strain_only,Sorbitol,72,253614,0.8301172852516174,0.18364818141711056,0.5659624468680751,0.43918493390083313,-0.3909323513507843
D0 seed2,val_strain_only,Staurosporine,24,91760,0.6789368391036987,0.3197044011905822,0.6117916303400175,0.36498501896858215,-0.3139518201351166
D0 seed2,val_strain_only,Trichostatin A,24,87658,0.7211132645606995,0.25127650867472945,0.5789659814278217,0.4485454857349396,-0.2725677788257599
D0 seed2,val_strain_only,Trifluoperazine dihydrochloride,24,91600,0.6735227704048157,0.3385031156524024,0.6204366812227075,0.39752334356307983,-0.27599942684173584
D0 seed2,val_strain_only,Tunicamycin,24,87789,0.686864972114563,0.27077745717253293,0.5951884632471038,0.38615918159484863,-0.30070579051971436
D0 seed2,val_strain_only,U-73122,24,91663,0.6883731484413147,0.2879648516178936,0.5944383229874649,0.36856386065483093,-0.31980928778648376
D0 seed2,val_strain_only,Valinomycin,24,87445,0.695717990398407,0.24181125654839877,0.5826976956944365,0.3564397096633911,-0.33927828073501587
D0 seed2,val_strain_only,Wortmannin,24,90466,0.7675978541374207,0.21690649121768935,0.564731501337519,0.5026594400405884,-0.2649384140968323
D2 seed1,val_strain_only,"(1R, 2S, 5R) - (-) - Menthol",24,87632,0.7242843508720398,0.24629868512066297,0.584683677195545,0.34805646538734436,-0.37622788548469543
D2 seed1,val_strain_only,1-10 Phenanthroline monohydrate,48,174947,0.7211381196975708,0.24891420108407017,0.5878351729380898,0.35278311371803284,-0.36835500597953796
D2 seed1,val_strain_only,4-Hydroxytamoxifen,24,87104,0.8483670949935913,0.2797128662283231,0.588078618662748,0.4519001245498657,-0.3964669704437256
D2 seed1,val_strain_only,Amiodarone hydrochloride,23,73670,0.9251194000244141,0.2309077662279168,0.5598208225872132,0.5889292359352112,-0.3361901640892029
D2 seed1,val_strain_only,Anisomycin,48,183200,0.713279664516449,0.2945029208375281,0.603367903930131,0.37533098459243774,-0.33794867992401123
D2 seed1,val_strain_only,Artemisinin,24,87987,0.7398015856742859,0.17418704414518507,0.5574232557082296,0.3194447159767151,-0.4203568696975708
D2 seed1,val_strain_only,Brefeldin A,48,179607,0.7203039526939392,0.2640399150362412,0.5956115296174426,0.3586706817150116,-0.3616332709789276
D2 seed1,val_strain_only,CHX,51,179518,0.740591824054718,0.2725442167731218,0.5974999721476398,0.4087584316730499,-0.3318333923816681
